@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1087,'2018/02/16 17:41:53:950',12,298.324951,323.591614,53.473972,415.125824,333.279358,73.447517,484.334961,335.62149,75.563599,550.51001,336.307251,72.14061,609.266724,338.060486,64.18721,474.118958,327.1604,48.30196,0,0,0,0,0,0,0,0
1088,'2018/02/16 17:41:53:998',12,309.241028,323.960327,53.740585,428.002045,334.50061,73.48288,497.449799,336.014587,75.516632,563.115356,336.654266,71.978569,621.331604,337.692322,63.919624,484.510742,326.339996,48.281326,0,0,0,0,0,0,0,0
1089,'2018/02/16 17:41:54:048',12,317.607788,324.633362,53.921566,438.144745,335.16156,73.49559,507.968933,335.863129,75.460663,573.120605,336.516357,71.81987,630.773926,336.741089,63.682125,492.408813,326.045227,48.231285,0,0,0,0,0,0,0,0
1090,'2018/02/16 17:41:54:099',12,327.084229,325.316681,54.094112,449.598145,335.047729,73.509033,519.743713,335.27887,75.371735,584.528442,335.601807,71.624481,641.569458,335.108368,63.383957,501.258209,325.631104,48.145821,0,0,0,0,0,0,0,0
1091,'2018/02/16 17:41:54:149',12,334.951355,325.354248,54.335167,459.760956,334.452942,73.575233,529.909729,334.864838,75.291283,594.632935,334.409546,71.438683,650.568787,333.995789,63.08099,508.290222,325.62384,48.083115,0,0,0,0,0,0,0,0
1092,'2018/02/16 17:41:54:200',12,341.227448,324.716675,54.502571,468.185944,334.04953,73.533028,538.390991,334.241943,75.134239,602.529297,334.148926,71.155457,657.416077,334.378418,62.687916,513.711182,325.347534,47.938766,0,0,0,0,0,0,0,0
1093,'2018/02/16 17:41:54:252',12,349.291046,324.117462,54.572716,478.019562,333.768646,73.423569,548.070313,334.185181,74.913391,611.751343,333.580872,70.853882,665.562378,334.426575,62.292374,520.939941,324.331177,47.754333,0,0,0,0,0,0,0,0
1094,'2018/02/16 17:41:54:299',12,355.851685,323.71701,54.63604,485.76825,333.552612,73.369949,555.870911,333.68988,74.797058,619.00592,333.242493,70.674576,671.967041,334.07428,62.071922,526.875366,323.808716,47.649841,0,0,0,0,0,0,0,0
1095,'2018/02/16 17:41:54:349',12,364.139832,323.541992,54.839432,495.605743,333.277924,73.428406,565.773987,332.888611,74.78093,628.860718,331.691711,70.586082,680.49707,333.243317,61.90881,534.402466,322.978149,47.657467,0,0,0,0,0,0,0,0
1096,'2018/02/16 17:41:54:399',12,368.923157,323.078156,54.888973,500.963409,332.525482,73.455765,571.095276,332.006836,74.781487,634.194458,330.433899,70.566315,685.066956,332.734436,61.858322,538.755005,322.113251,47.658203,0,0,0,0,0,0,0,0
1097,'2018/02/16 17:41:54:448',12,373.639862,321.599487,54.846409,506.321503,330.43042,73.397079,575.774109,330.559692,74.664001,638.68457,329.017395,70.432419,689.165039,331.620911,61.7048,542.701416,320.552185,47.551731,0,0,0,0,0,0,0,0
1098,'2018/02/16 17:41:54:498',12,376.106049,320.391876,54.904713,508.910767,328.94928,73.394852,578.171814,329.166443,74.623322,640.876709,327.745056,70.374115,690.835388,331.179138,61.629128,544.295227,319.664185,47.517094,0,0,0,0,0,0,0,0
1099,'2018/02/16 17:41:54:548',12,377.493103,319.653564,54.930393,510.416687,327.568848,73.402855,579.418579,327.933289,74.606148,642.221863,326.449585,70.342041,691.888489,330.2724,61.590923,545.154236,318.960449,47.497742,0,0,0,0,0,0,0,0
1100,'2018/02/16 17:41:54:598',12,377.88681,318.938171,54.92123,510.473694,326.816528,73.395432,579.553772,326.947937,74.603783,642.474609,325.377502,70.342026,692.134399,329.397522,61.595089,545.301636,318.401367,47.491837,0,0,0,0,0,0,0,0
1101,'2018/02/16 17:41:54:648',12,377.576874,318.342407,54.887127,509.95813,326.193939,73.383148,578.956482,326.344177,74.601166,642.068604,324.625427,70.345406,691.64093,328.904144,61.612106,544.942322,318.002747,47.483212,0,0,0,0,0,0,0,0
1102,'2018/02/16 17:41:54:698',12,376.0177,317.665833,54.81002,507.974274,325.582153,73.36084,576.918213,325.735718,74.604851,640.654114,323.57489,70.35778,689.726501,328.838806,61.655384,543.480652,317.644592,47.470348,0,0,0,0,0,0,0,0
1103,'2018/02/16 17:41:54:748',12,372.862305,316.871094,54.656288,503.72699,325.499023,73.292282,572.856079,325.571045,74.589134,636.659424,323.903259,70.388519,685.62793,329.702637,61.725998,540.512817,317.420532,47.436916,0,0,0,0,0,0,0,0
1104,'2018/02/16 17:41:54:798',12,370.583984,316.853088,54.46365,500.412689,325.590454,73.179962,569.445862,325.671967,74.529457,633.290344,324.193054,70.380936,682.624573,329.906372,61.751686,538.455444,317.129089,47.364811,0,0,0,0,0,0,0,0
1105,'2018/02/16 17:41:54:847',12,368.804626,317.060486,54.348129,497.953705,325.68457,73.114304,566.891113,325.82312,74.497047,630.839783,324.277802,70.381317,680.578247,329.728882,61.771992,536.834412,317.161743,47.322372,0,0,0,0,0,0,0,0
1106,'2018/02/16 17:41:54:898',12,365.608887,317.273987,54.246723,493.996338,326.022583,73.061745,562.749268,326.279785,74.478394,627.147949,324.460327,70.3909,676.990479,330.07196,61.807835,533.776489,317.57135,47.291965,0,0,0,0,0,0,0,0
1107,'2018/02/16 17:41:54:948',12,362.217773,317.783325,54.171703,489.711365,326.422424,73.036842,558.264832,326.687531,74.497047,623.239136,324.470093,70.443672,673.328247,329.892395,61.885761,530.514404,317.784973,47.29781,0,0,0,0,0,0,0,0
1108,'2018/02/16 17:41:54:998',12,358.026428,318.04187,54.107239,484.444763,326.535675,73.055717,552.840454,326.864868,74.567543,618.087708,324.686768,70.561951,668.986572,329.374115,62.037266,526.557373,318.038483,47.34597,0,0,0,0,0,0,0,0
1109,'2018/02/16 17:41:55:047',12,353.83197,318.037964,54.052284,479.067688,326.301819,73.096474,547.344788,326.659851,74.666817,612.9021,324.55423,70.71299,664.985352,328.009369,62.218319,522.620422,318.080872,47.417458,0,0,0,0,0,0,0,0
1110,'2018/02/16 17:41:55:099',12,347.893494,317.614868,53.999794,471.419556,325.59967,73.149834,539.704712,326.173889,74.789795,605.416077,324.381989,70.901367,658.358398,327.548889,62.455086,516.8573,317.828735,47.507179,0,0,0,0,0,0,0,0
1111,'2018/02/16 17:41:55:148',12,341.459351,317.054504,53.92001,463.31012,324.814301,73.201263,531.467834,325.640503,74.914001,597.083557,324.31781,71.103302,651.187317,326.935059,62.715393,510.773712,317.596069,47.596115,0,0,0,0,0,0,0,0
1112,'2018/02/16 17:41:55:197',12,333.650085,316.430664,53.923851,454.125214,324.388855,73.313858,521.848938,325.701324,75.080132,587.299744,325.102295,71.325615,642.499023,327.406616,63.002815,503.271942,317.902222,47.740334,0,0,0,0,0,0,0,0
1113,'2018/02/16 17:41:55:247',12,325.297241,316.829865,53.863319,443.494781,325.338806,73.352783,511.448456,326.253418,75.23381,577.078247,325.962463,71.554077,632.988525,328.127228,63.320721,495.410217,318.357544,47.879181,0,0,0,0,0,0,0,0
1114,'2018/02/16 17:41:55:297',12,317.744934,317.173279,53.750477,434.152161,325.869629,73.334175,502.153961,326.512878,75.308723,567.987732,326.413818,71.697739,624.153503,328.773285,63.553127,488.296539,318.588196,47.944759,0,0,0,0,0,0,0,0
1115,'2018/02/16 17:41:55:347',12,308.383301,317.53418,53.655323,422.935486,325.993011,73.396057,490.675018,326.709564,75.461678,556.914673,326.698883,71.945457,613.870972,328.990784,63.8899,479.542786,318.842957,48.087181,0,0,0,0,0,0,0,0
1116,'2018/02/16 17:41:55:397',12,299.728516,317.53949,53.583096,412.862244,325.438416,73.483017,480.571075,326.512695,75.613792,547.161316,326.655273,72.172539,604.82373,329.003754,64.183441,471.584747,319.037292,48.22718,0,0,0,0,0,0,0,0
1117,'2018/02/16 17:41:55:447',12,289.502258,317.089478,53.376343,400.703552,324.683777,73.478348,468.280304,326.114319,75.703819,535.070557,326.62146,72.357178,593.629089,329.098724,64.46479,462.089752,318.934021,48.303913,0,0,0,0,0,0,0,0
1118,'2018/02/16 17:41:55:497',12,278.372986,316.39679,53.164837,387.254669,324.150696,73.484894,454.4151,326.266846,75.82299,521.734436,326.789429,72.597557,581.16925,329.56427,64.809792,451.725342,318.752258,48.417877,0,0,0,0,0,0,0,0
1119,'2018/02/16 17:41:55:547',12,267.412109,315.503357,52.992088,374.026276,323.282318,73.51535,440.771545,326.092346,75.967537,508.603333,326.634644,72.858109,569.021973,329.643768,65.165222,441.421753,318.542633,48.550304,0,0,0,0,0,0,0,0
